model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,smote_strategy,xgb_learning_rate,rf_n_estimators,rf_max_depth,ada_n_estimators,rus_n_estimators
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run042_strategy=0.2_threshold=0.3_estima,0.2,0.1,300,5,100,200
Baseline_Majority,0.5,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run107_strategy=0.2_threshold=0.5_estima,0.2,0.1,500,15,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run000_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,5,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run027_strategy=0.2_threshold=0.3_estima,0.2,0.05,300,10,200,200
RandomForest,0.5,0.9468641114982579,0.955237242614145,0.9897959183673469,0.9722095671981776,0.9826855774544115,0.4067135630142056,0.7063344818446858,0.9634528031144316,1067,50,20,11,run207_strategy=0.3_threshold=0.5_estima,0.3,0.1,300,10,200,200
XGBoost,0.3,0.9398954703832753,0.9476486246672582,0.9907235621521335,0.9687074829931973,0.9817981246552675,0.26403186978603144,0.6347866419294992,0.955273469923967,1068,59,11,10,run160_strategy=0.3_threshold=0.3_estima,0.3,0.1,500,15,100,200
