model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,smote_strategy,xgb_learning_rate,rf_n_estimators,rf_max_depth,ada_n_estimators,rus_n_estimators
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run005_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run005_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,200,200
RandomForest,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.6590379008746354,0.9583303594966528,1077,70,0,1,run005_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run005_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run005_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run005_strategy=0.2_threshold=0.3_estima,0.2,0.01,100,15,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run006_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run006_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,100,200
RandomForest,0.3,0.9407665505226481,0.9500891265597148,0.9888682745825603,0.9690909090909091,0.9808612440191388,0.3037626065675736,0.7298701298701298,0.9667989556571401,1066,56,14,12,run006_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run006_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run006_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run006_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run007_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run007_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,200,200
RandomForest,0.3,0.9407665505226481,0.9500891265597148,0.9888682745825603,0.9690909090909091,0.9808612440191388,0.3037626065675736,0.7298701298701298,0.9667989556571401,1066,56,14,12,run007_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run007_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run007_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run007_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,5,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run008_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run008_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,100,200
RandomForest,0.3,0.936411149825784,0.9396325459317585,0.9962894248608535,0.9671319225574065,0.9844179651695693,0.038426990548543545,0.682454280413464,0.9626064346145142,1074,69,1,4,run008_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run008_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run008_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run008_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run009_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run009_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,200,200
RandomForest,0.3,0.936411149825784,0.9396325459317585,0.9962894248608535,0.9671319225574065,0.9844179651695693,0.038426990548543545,0.682454280413464,0.9626064346145142,1074,69,1,4,run009_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run009_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run009_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run009_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,10,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run010_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run010_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,100,200
RandomForest,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.6685661277498012,0.9609652875719861,1077,70,0,1,run010_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run010_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run010_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run010_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run011_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run011_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,200,200
RandomForest,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.6685661277498012,0.9609652875719861,1077,70,0,1,run011_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run011_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run011_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run011_strategy=0.2_threshold=0.3_estima,0.2,0.01,300,15,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run012_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run012_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,100,200
RandomForest,0.3,0.9407665505226481,0.9500891265597148,0.9888682745825603,0.9690909090909091,0.9808612440191388,0.3037626065675736,0.731924198250729,0.96678753780024,1066,56,14,12,run012_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run012_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run012_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run012_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run013_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run013_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,200,200
RandomForest,0.3,0.9407665505226481,0.9500891265597148,0.9888682745825603,0.9690909090909091,0.9808612440191388,0.3037626065675736,0.731924198250729,0.96678753780024,1066,56,14,12,run013_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run013_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run013_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run013_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,5,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run014_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run014_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,100,200
RandomForest,0.3,0.9372822299651568,0.9396853146853147,0.9972170686456401,0.9675967596759676,0.9851539589442815,0.046710908791103796,0.6777498012191889,0.9615578614831064,1075,69,1,3,run014_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run014_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run014_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run014_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run015_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run015_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,200,200
RandomForest,0.3,0.9372822299651568,0.9396853146853147,0.9972170686456401,0.9675967596759676,0.9851539589442815,0.046710908791103796,0.6777498012191889,0.9615578614831064,1075,69,1,3,run015_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run015_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run015_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run015_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,10,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run016_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,100,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run016_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,100,200
RandomForest,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.671587596077392,0.9608127513121598,1077,70,0,1,run016_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,100,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run016_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,100,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run016_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,100,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run016_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,100,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run017_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,200,200
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run017_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,200,200
RandomForest,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.671587596077392,0.9608127513121598,1077,70,0,1,run017_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,200,200
XGBoost,0.3,0.9390243902439024,0.9556962025316456,0.9805194805194806,0.967948717948718,0.975452196382429,0.3575355395046445,0.6653988868274583,0.9590642973650554,1057,49,21,21,run017_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,200,200
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run017_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,200,200
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run017_strategy=0.2_threshold=0.3_estima,0.2,0.01,500,15,200,200
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run018_strategy=0.2_threshold=0.3_estima,0.2,0.05,100,5,100,200
