model,f1,recall,auc_pr,mcc,run_id,smote_strategy,threshold,xgb_learning_rate,rf_n_estimators,rf_max_depth,ada_n_estimators,rus_n_estimators
AdaBoost,0.9602954755309326,0.9647495361781077,0.9649458134717321,0.30000424409187065,run174,0.4,0.3,0.1,100,7,100,100
RUSBoost,0.966742596810934,0.9842300556586271,0.9620388698017703,0.27196401890444855,run007,0.2,0.3,0.1,100,7,100,400
RandomForest,0.9726775956284153,0.9907235621521335,0.964632446880328,0.41464303484738657,run130,0.3,0.5,0.1,200,10,100,100
XGBoost,0.9709090909090909,0.9907235621521335,0.9564463918527764,0.3526988221639214,run110,0.3,0.3,0.1,100,7,100,100
