model,f1,recall,precision,f2,auc_pr,mcc,accuracy,auc_roc,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,threshold,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate
AdaBoost,0.9602954755309326,0.9647495361781077,0.9558823529411765,0.9629629629629629,0.9649458134717321,0.30000424409187065,0.9250871080139372,0.7022727272727273,1040,48,22,38,run174,2010,True,0.4,0.3,100,7,2,100,6,0.1,0.8,100,0.1,100,0.1
RUSBoost,0.966742596810934,0.9842300556586271,0.9498657117278424,0.9771596979185854,0.9620388698017703,0.27196401890444855,0.936411149825784,0.6848992843890804,1061,56,14,17,run007,2010,True,0.2,0.3,100,7,2,100,6,0.1,0.8,100,0.1,400,0.2
RandomForest,0.9726775956284153,0.9907235621521335,0.9552772808586762,0.9834254143646409,0.964632446880328,0.41464303484738657,0.9477351916376306,0.7191492181288099,1068,50,20,10,run130,2010,True,0.3,0.5,200,10,2,100,6,0.1,0.8,100,0.1,100,0.1
XGBoost,0.9709090909090909,0.9907235621521335,0.9518716577540107,0.9827015090172985,0.9564463918527764,0.3526988221639214,0.9442508710801394,0.6527431751921549,1068,54,16,10,run110,2010,True,0.3,0.3,100,7,2,200,6,0.1,0.8,100,0.1,100,0.1
