model,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,mcc,TP,FP,TN,FN,threshold
RandomForest,0.9416376306620209,0.9485359361135759,0.9916512059369202,0.9696145124716553,0.9827174112888398,0.6747084548104956,0.9612455209866834,0.2911970056987724,1069,58,12,9,0.5
Baseline_Majority,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.5,0.9390243902439024,0.0,1078,70,0,0,0.5
XGBoost,0.9006968641114983,0.959047619047619,0.9341372912801484,0.9464285714285714,0.9390152928011936,0.6383249403657567,0.9540353247033538,0.27390452647642155,1007,43,27,71,0.5
AdaBoost,0.8937282229965157,0.9596153846153846,0.9257884972170687,0.9423984891406988,0.9323617339312407,0.7057050092764379,0.9646816323250359,0.2670334085968295,998,42,28,80,0.5
RUSBoost,0.8858885017421603,0.957487922705314,0.9192949907235621,0.9380028395646001,0.9266878623527212,0.685164325470448,0.9623796729759913,0.23352277083457149,991,44,26,87,0.5
Baseline_PriorRate,0.8501742160278746,0.9364161849710982,0.9016697588126159,0.9187145557655955,0.908411214953271,0.5,0.9390243902439024,-0.03348324883351259,972,66,4,106,0.5
