model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate,logit_C,logit_penalty,svm_C,svm_kernel,svm_gamma,mlp_hidden_layer_sizes,mlp_alpha,mlp_learning_rate_init,mlp_activation
MLP,0.3,0.8998257839721254,0.9405306495882891,0.9536178107606679,0.9470290188853063,0.9509713228492137,0.02806157081183955,0.564100185528757,0.9491646741724726,1028,65,5,50,run009,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(128, 64, 32)",0.0001,0.01,relu
MLP,0.3,0.9163763066202091,0.940754039497307,0.9721706864564007,0.9562043795620438,0.9657206044968669,0.04137563464011621,0.6158362046117147,0.9611546673869195,1048,66,4,30,run010,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(128, 64, 32)",0.001,0.001,relu
MLP,0.3,0.9346689895470384,0.9387576552930884,0.9953617810760668,0.9662314272850068,0.9835013748854262,-0.016853943223045415,0.5764908560826929,0.9467458471278116,1073,70,0,5,run011,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(128, 64, 32)",0.001,0.01,relu
SVM,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.6914391730718261,0.967155113476967,1077,70,0,1,run012,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,linear,scale,"(32,)",0.0001,0.001,relu
SVM,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.6714418234826398,0.9630133343968037,1078,70,0,0,run013,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,1.0,rbf,scale,"(32,)",0.0001,0.001,relu
SVM,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.6807712695467798,0.9657910109409951,1077,70,0,1,run014,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,1.0,linear,scale,"(32,)",0.0001,0.001,relu
Logit,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.7221706864564007,0.9688134262431277,1078,70,0,0,run015,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l2,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Logit,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.744738934534853,0.9715683987285075,1078,70,0,0,run016,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.1,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Logit,0.3,0.9381533101045296,0.9389712292938099,0.9990723562152134,0.9680898876404495,0.9864444037369482,-0.007524158413986663,0.74067055393586,0.9720934680569826,1077,70,0,1,run017,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.1,l2,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6848992843890804,0.9620388698017703,1061,56,14,17,run018,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.2,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6874768089053803,0.9623382238098745,1061,56,14,17,run019,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.3,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.3,0.931184668989547,0.9504057709648331,0.9777365491651205,0.9638774577046182,0.9721453606345692,0.25363659159992613,0.6888218923933209,0.9630828692644076,1054,55,15,24,run020,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,300,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6848992843890804,0.9620388698017703,1061,56,14,17,run021,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,300,0.2,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.3,0.936411149825784,0.9498657117278424,0.9842300556586271,0.966742596810934,0.9771596979185854,0.27196401890444855,0.6874768089053803,0.9623382238098745,1061,56,14,17,run022,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,300,0.3,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.3,0.9181184668989547,0.9572490706319703,0.9554730983302412,0.9563602599814299,0.9558277654046028,0.29443083849994195,0.7016763848396501,0.9648105766811463,1030,46,24,48,run023,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.2,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.3,0.9224738675958188,0.9574468085106383,0.9601113172541744,0.9587772116720704,0.9595772297422585,0.3092470544142805,0.7078253379273788,0.9650814291161331,1035,46,24,43,run024,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.3,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.3,0.9189895470383276,0.957288765088208,0.9564007421150278,0.9568445475638051,0.9565782148821674,0.2972808791293479,0.7043996819507023,0.9649008578696274,1031,46,24,47,run025,2010,True,0.2,100,7,2,200,7,0.1,0.8,300,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.3,0.9181184668989547,0.9572490706319703,0.9554730983302412,0.9563602599814299,0.9558277654046028,0.29443083849994195,0.7016763848396501,0.9648105766811463,1030,46,24,48,run026,2010,True,0.2,100,7,2,200,7,0.1,0.8,300,0.2,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.3,0.9224738675958188,0.9574468085106383,0.9601113172541744,0.9587772116720704,0.9595772297422585,0.3092470544142805,0.7078253379273788,0.9650814291161331,1035,46,24,43,run027,2010,True,0.2,100,7,2,200,7,0.1,0.8,300,0.3,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
