model,threshold,accuracy,precision,recall,f1,f2,mcc,auc_roc,auc_pr,TP,FP,TN,FN,run_id,cut_year,apply_smote,smote_strategy,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,ada_n_estimators,ada_learning_rate,rus_n_estimators,rus_learning_rate,logit_C,logit_penalty,svm_C,svm_kernel,svm_gamma,mlp_hidden_layer_sizes,mlp_alpha,mlp_learning_rate_init,mlp_activation
MLP,0.7,0.9102787456445993,0.9411764705882353,0.9647495361781077,0.9528172240036646,0.9599409267122023,0.04559202475858665,0.652610654651471,0.9639718018411939,1040,65,5,38,run155,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(64, 32)",0.001,0.01,relu
MLP,0.7,0.9041811846689896,0.9416058394160584,0.9573283858998145,0.9494020239190433,0.9541420118343196,0.049527986342305715,0.5864033925258415,0.9582248899168675,1032,64,6,46,run156,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(128, 64, 32)",0.0001,0.001,relu
MLP,0.7,0.8641114982578397,0.9415708812260536,0.911873840445269,0.9264844486333648,0.9176624346527259,0.03371779841557539,0.564100185528757,0.9491646741724726,983,61,9,95,run157,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(128, 64, 32)",0.0001,0.01,relu
MLP,0.7,0.877177700348432,0.9423984891406988,0.9257884972170687,0.9340196537201685,0.9290634891081735,0.04864007906587398,0.6158362046117147,0.9611546673869195,998,61,9,80,run158,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(128, 64, 32)",0.001,0.001,relu
MLP,0.7,0.9181184668989547,0.9448462929475587,0.9693877551020408,0.956959706959707,0.9643779992617202,0.12485368046193934,0.5764908560826929,0.9467458471278116,1045,61,9,33,run159,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(128, 64, 32)",0.001,0.01,relu
SVM,0.7,0.926829268292683,0.9421708185053381,0.9823747680890538,0.9618528610354223,0.9740618101545254,0.08998681003451704,0.6914391730718261,0.967155113476967,1059,65,5,19,run160,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,linear,scale,"(32,)",0.0001,0.001,relu
SVM,0.7,0.9381533101045296,0.9451812555260831,0.9916512059369202,0.9678587596197374,0.9819952232224876,0.2098698153142204,0.6714418234826398,0.9630133343968037,1069,62,8,9,run161,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,1.0,rbf,scale,"(32,)",0.0001,0.001,relu
SVM,0.7,0.9259581881533101,0.9421193232413179,0.9814471243042672,0.9613811903680145,0.9733210671573137,0.08668712761110994,0.6807712695467798,0.9657910109409951,1058,65,5,20,run162,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,1.0,linear,scale,"(32,)",0.0001,0.001,relu
Logit,0.7,0.9285714285714286,0.947841726618705,0.9777365491651205,0.9625570776255707,0.9716076696165191,0.20479626882754573,0.7221706864564007,0.9688134262431277,1054,58,12,24,run163,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l2,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Logit,0.7,0.9303135888501742,0.9463327370304114,0.9814471243042672,0.9635701275045537,0.9742173112338858,0.18645022372332148,0.744738934534853,0.9715683987285075,1058,60,10,20,run164,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.1,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Logit,0.7,0.9259581881533101,0.9444941808415398,0.9786641929499073,0.9612756264236902,0.9716338183827593,0.13721447479469157,0.74067055393586,0.9720934680569826,1055,62,8,23,run165,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.1,l2,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.7,0.8266550522648084,0.9582898852971846,0.852504638218924,0.9023073146784487,0.8717510908745969,0.18136023188902117,0.6848992843890804,0.9620388698017703,919,40,30,159,run166,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.2,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.7,0.828397212543554,0.9583766909469302,0.8543599257884972,0.9033840117704757,0.8733168974018585,0.18333989649244153,0.6874768089053803,0.9623382238098745,921,40,30,157,run167,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,200,0.3,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.7,0.8092334494773519,0.9574014909478168,0.8339517625231911,0.8914229053049083,0.8560274233479337,0.16278715603610996,0.6888218923933209,0.9630828692644076,899,40,30,179,run168,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,300,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.7,0.8266550522648084,0.9582898852971846,0.852504638218924,0.9023073146784487,0.8717510908745969,0.18136023188902117,0.6848992843890804,0.9620388698017703,919,40,30,159,run169,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,300,0.2,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.7,0.828397212543554,0.9583766909469302,0.8543599257884972,0.9033840117704757,0.8733168974018585,0.18333989649244153,0.6874768089053803,0.9623382238098745,921,40,30,157,run170,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.1,300,0.3,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.7,0.7761324041811847,0.958659217877095,0.7959183673469388,0.8697415103902686,0.823890916074515,0.15433408014155506,0.7016763848396501,0.9648105766811463,858,37,33,220,run171,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.2,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.7,0.7709059233449478,0.96045197740113,0.7884972170686456,0.8660213958227203,0.8177794881662498,0.1642670731134201,0.7078253379273788,0.9650814291161331,850,35,35,228,run172,2010,True,0.2,100,7,2,200,7,0.1,0.8,200,0.3,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.7,0.7639372822299652,0.9600912200684151,0.7810760667903525,0.8613810741687979,0.8113316631335518,0.15837908367512665,0.7043996819507023,0.9649008578696274,842,35,35,236,run173,2010,True,0.2,100,7,2,200,7,0.1,0.8,300,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.7,0.7761324041811847,0.958659217877095,0.7959183673469388,0.8697415103902686,0.823890916074515,0.15433408014155506,0.7016763848396501,0.9648105766811463,858,37,33,220,run174,2010,True,0.2,100,7,2,200,7,0.1,0.8,300,0.2,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.7,0.7709059233449478,0.96045197740113,0.7884972170686456,0.8660213958227203,0.8177794881662498,0.1642670731134201,0.7078253379273788,0.9650814291161331,850,35,35,228,run175,2010,True,0.2,100,7,2,200,7,0.1,0.8,300,0.3,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.8745644599303136,0.957843137254902,0.9063079777365491,0.9313632030505243,0.9161665416354089,0.2220083415501561,0.6854492446329181,0.9634611466345469,977,43,27,101,run176,2010,True,0.2,100,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.9146341463414634,0.9588014981273408,0.9499072356215214,0.9543336439888164,0.9516728624535316,0.3019860649811088,0.6764179697853168,0.9592300338820876,1024,44,26,54,run177,2010,True,0.2,100,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.7473867595818815,0.9602803738317757,0.7625231910946196,0.8500517063081696,0.7952786377708978,0.15209332358496494,0.7073548900079512,0.9641969215353261,822,34,36,256,run178,2010,True,0.2,200,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.9006968641114983,0.9608030592734226,0.9322820037105751,0.9463276836158192,0.9378499440089586,0.29146108614721616,0.6848794063079777,0.9627835530573418,1005,41,29,73,run179,2010,True,0.2,200,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.9189895470383276,0.9589934762348555,0.9545454545454546,0.9567642956764296,0.9554317548746518,0.3156537143158707,0.6717664988073153,0.9586511799632526,1029,44,26,49,run180,2010,True,0.2,200,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.7378048780487805,0.9597633136094674,0.7523191094619666,0.843473738949558,0.7863098700795036,0.14473605618487115,0.7105221309302943,0.963741554696814,811,34,36,267,run181,2010,True,0.2,300,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.8998257839721254,0.9590085795996187,0.9332096474953617,0.9459332393041843,0.9382577877261705,0.2718567812098537,0.682454280413464,0.9626064346145142,1006,43,27,72,run182,2010,True,0.2,300,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.9172473867595818,0.9580615097856477,0.9536178107606679,0.9558344955834496,0.9545032497678737,0.30092200994825463,0.669010071561092,0.9579672662381826,1028,45,25,50,run183,2010,True,0.2,300,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.7578397212543554,0.9608294930875576,0.7736549165120594,0.8571428571428571,0.805019305019305,0.1604436280329974,0.7189371852637159,0.9647218989098281,834,34,36,244,run184,2010,True,0.2,400,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.8980836236933798,0.958930276981853,0.9313543599257885,0.9449411764705883,0.9367419294644523,0.2678413777180855,0.6783196395441293,0.9616344268218153,1004,43,27,74,run185,2010,True,0.2,400,10,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.7,0.921602787456446,0.9599627560521415,0.9564007421150278,0.95817843866171,0.9571110285926476,0.33335928151133176,0.6807845216008481,0.960905041980389,1031,43,27,47,run186,2010,True,0.2,400,13,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.7987804878048781,0.9539121114683816,0.8256029684601113,0.8851317752362009,0.8484270734032412,0.12960844719889358,0.6259607739199575,0.9539908191983452,890,43,27,188,run187,2010,True,0.2,100,7,2,200,7,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8423344947735192,0.9571865443425076,0.8710575139146568,0.9120932491500728,0.8870205932363499,0.1839615719313328,0.6300026504108137,0.9514022303589256,939,42,28,139,run188,2010,True,0.2,100,7,2,200,10,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.823170731707317,0.9562043795620438,0.8506493506493507,0.9003436426116839,0.8698539176626826,0.16172783714987962,0.6243175192154784,0.954840193560385,917,42,28,161,run189,2010,True,0.2,100,7,2,200,10,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8806620209059234,0.9581304771178188,0.9128014842300557,0.934916864608076,0.9215208840606856,0.23262038618606184,0.6431486880466473,0.9567224567125692,984,43,27,94,run190,2010,True,0.2,100,7,2,200,13,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8048780487804879,0.9523305084745762,0.8339517625231911,0.8892185954500494,0.8552130898021308,0.11962054564197204,0.6010601643254704,0.9513530546014202,899,45,25,179,run191,2010,True,0.2,100,7,2,200,13,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.794425087108014,0.9488272921108742,0.8256029684601113,0.8829365079365079,0.8476190476190476,0.08658245873119892,0.5848794063079776,0.9507285156779693,890,48,22,188,run192,2010,True,0.2,100,7,2,200,7,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8205574912891986,0.9513457556935818,0.852504638218924,0.8992172211350293,0.8705949223190602,0.11863018173343035,0.6113437582825338,0.9543061160244508,919,47,23,159,run193,2010,True,0.2,100,7,2,200,7,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8554006968641115,0.9532803180914513,0.8896103896103896,0.9203454894433781,0.9016547574276044,0.1585746620209605,0.6093029419560032,0.9539524744799044,959,47,23,119,run194,2010,True,0.2,100,7,2,200,10,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.872822299651568,0.9472168905950096,0.9155844155844156,0.9311320754716981,0.9217407545760179,0.1073447683548315,0.5843758282533792,0.9500730029369637,987,55,15,91,run195,2010,True,0.2,100,7,2,200,10,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8449477351916377,0.9527162977867203,0.87847866419295,0.9140926640926641,0.8923859781379571,0.1453718365880039,0.597667638483965,0.9494045600920633,947,47,23,131,run196,2010,True,0.2,100,7,2,200,13,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8440766550522648,0.949050949050949,0.8812615955473099,0.9139009139009139,0.8940335027291549,0.1093436996909932,0.5874436787702094,0.9512904801388324,950,51,19,128,run197,2010,True,0.2,100,7,2,200,13,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8179442508710801,0.9493278179937953,0.8515769944341373,0.897799511002445,0.869482856601629,0.09952659982272395,0.5757884972170686,0.9487514534409539,918,49,21,160,run198,2010,True,0.2,100,7,2,200,7,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8257839721254355,0.9488752556237219,0.8608534322820037,0.9027237354085603,0.8771266540642723,0.09874220892994655,0.5946991783726477,0.9535139368041683,928,50,20,150,run199,2010,True,0.2,100,7,2,200,7,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8005226480836237,0.9492063492063492,0.8320964749536178,0.8868017795353436,0.8531481833745482,0.0918084626783601,0.6058176517360191,0.9546798603761923,897,48,22,181,run200,2010,True,0.2,100,7,2,200,10,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8414634146341463,0.948,0.8794063079777366,0.9124157844080847,0.8923192771084337,0.09750268871561597,0.5829181023058574,0.9523066131527544,948,52,18,130,run201,2010,True,0.2,100,7,2,200,10,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8501742160278746,0.951195219123506,0.885899814471243,0.9173871277617676,0.8982317531978932,0.13430409487480158,0.6236549165120593,0.9572827357390685,955,49,21,123,run202,2010,True,0.2,100,7,2,200,13,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8649825783972126,0.9484936831875608,0.9053803339517625,0.9264356905552918,0.9136865755476502,0.11636844914871083,0.5893188444208852,0.9514286296132388,976,53,17,102,run203,2010,True,0.2,100,7,2,200,13,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8127177700348432,0.953732912723449,0.8413729128014842,0.8940364711680631,0.8616758502755083,0.1350546934859962,0.6126822157434402,0.9518274946863747,907,44,26,171,run204,2010,True,0.2,100,7,2,300,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.823170731707317,0.9543094496365524,0.852504638218924,0.9005389514943655,0.8710900473933649,0.145739708848995,0.616326530612245,0.9538627990718809,919,44,26,159,run205,2010,True,0.2,100,7,2,300,7,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8493031358885017,0.9538615847542627,0.8821892393320965,0.9166265060240963,0.8956488980975702,0.1593288359857161,0.6175854757487411,0.9515046854471125,951,46,24,127,run206,2010,True,0.2,100,7,2,300,10,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8301393728222997,0.9528205128205128,0.8617810760667903,0.9050170482221139,0.8785700775487044,0.1368736309520493,0.6137423800689107,0.9540799747808634,929,46,24,149,run207,2010,True,0.2,100,7,2,300,10,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8789198606271778,0.9545014520813165,0.9146567717996289,0.9341544291804832,0.9223573433115061,0.1938533212107902,0.630811025708985,0.9569830132410928,986,47,23,92,run208,2010,True,0.2,100,7,2,300,13,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8196864111498258,0.9503619441571872,0.852504638218924,0.8987775061124694,0.8704300056828945,0.10951580568008425,0.590286244367877,0.9499388424385969,919,48,22,159,run209,2010,True,0.2,100,7,2,300,13,0.1,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.804006968641115,0.9494204425711275,0.8358070500927643,0.8889985199802664,0.8563010834442121,0.09487646881998511,0.5715875960773921,0.9494308345113881,901,48,22,177,run210,2010,True,0.2,100,7,2,300,7,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.818815331010453,0.9503105590062112,0.8515769944341373,0.898238747553816,0.8696475937855248,0.10866330171074459,0.5906573018817917,0.9513329047515647,918,48,22,160,run211,2010,True,0.2,100,7,2,300,7,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8466898954703833,0.9500998003992016,0.8831168831168831,0.9153846153846154,0.8957470831765149,0.12125530236085058,0.5962827988338193,0.9519825857791584,952,50,20,126,run212,2010,True,0.2,100,7,2,300,10,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8745644599303136,0.9473180076628352,0.9174397031539888,0.9321394910461829,0.9232636295743092,0.10981484805072718,0.570924993373973,0.9493302384833328,989,55,15,89,run213,2010,True,0.2,100,7,2,300,10,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8405923344947736,0.949748743718593,0.8766233766233766,0.9117221418234442,0.8903335217637083,0.11429321056672258,0.5870328650940896,0.9488705440187549,945,50,20,133,run214,2010,True,0.2,100,7,2,300,13,0.2,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8336236933797909,0.9493414387031408,0.8692022263450835,0.9075060532687651,0.8841290809586715,0.10675410807219,0.5757487410548635,0.9500748121880689,937,50,20,141,run215,2010,True,0.2,100,7,2,300,13,0.2,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.813588850174216,0.9481327800829875,0.8478664192949907,0.8952007835455436,0.8661865049279758,0.0871273897545926,0.5655181553140737,0.9478823488302686,914,50,20,164,run216,2010,True,0.2,100,7,2,300,7,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8336236933797909,0.9493414387031408,0.8692022263450835,0.9075060532687651,0.8841290809586715,0.10675410807219,0.5821229790617546,0.9509317290673136,937,50,20,141,run217,2010,True,0.2,100,7,2,300,7,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8153310104529616,0.9491701244813278,0.8487940630797773,0.8961802154750245,0.8671341925701289,0.09705023136553231,0.6005300821627352,0.9543360419370934,915,49,21,163,run218,2010,True,0.2,100,7,2,300,10,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8397212543554007,0.9478957915831663,0.8775510204081632,0.9113680154142582,0.8907721280602636,0.09563026423540096,0.5684203551550491,0.9505022966828245,946,52,18,132,run219,2010,True,0.2,100,7,2,300,10,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8510452961672473,0.9512437810945273,0.8868274582560297,0.9179068650984158,0.8990031972917059,0.13537798828165845,0.6158892128279884,0.9564180558101645,956,49,21,122,run220,2010,True,0.2,100,7,2,300,13,0.3,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.7,0.8632404181184669,0.9466537342386033,0.9053803339517625,0.9255571360834519,0.9133445629795994,0.09464705090067103,0.574025974025974,0.9501444765098698,976,55,15,102,run221,2010,True,0.2,100,7,2,300,13,0.3,1.0,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Baseline_Majority,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Baseline_PriorRate,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.5,0.9390243902439024,1078,70,0,0,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RandomForest,0.3,0.936411149825784,0.9411764705882353,0.9944341372912802,0.9670726206585476,0.983305815446707,0.1011771812294051,0.712642459581235,0.9647735218516775,1072,67,3,6,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
XGBoost,0.3,0.9372822299651568,0.9499105545617174,0.9851576994434137,0.9672131147540983,0.9779005524861878,0.27772734817294753,0.6265703684071031,0.9530705106413345,1062,56,14,16,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
AdaBoost,0.3,0.9181184668989547,0.9598130841121495,0.9526901669758813,0.9562383612662942,0.9541062801932367,0.32177720798396325,0.7057050092764379,0.9646816323250359,1027,43,27,51,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
RUSBoost,0.3,0.9303135888501742,0.9503610108303249,0.9768089053803339,0.9634034766697164,0.9714022140221402,0.24934862866834048,0.685164325470448,0.9623796729759913,1053,55,15,25,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
Logit,0.3,0.9390243902439024,0.9421052631578948,0.9962894248608535,0.9684400360685302,0.9849596478356566,0.1536967569481455,0.703551550490326,0.9642228621905526,1074,66,4,4,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
SVM,0.3,0.9390243902439024,0.9390243902439024,1.0,0.9685534591194969,0.9871794871794872,0.0,0.675728862973761,0.9618264182706308,1078,70,0,0,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
MLP,0.3,0.9346689895470384,0.9410729991204925,0.9925788497217068,0.9661399548532731,0.9818315287208662,0.08704151220281885,0.6510204081632652,0.9610659915493096,1070,67,3,8,run222,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.001,relu
MLP,0.3,0.8937282229965157,0.9385321100917431,0.9489795918367347,0.9437269372693727,0.9468715290633098,-0.008918566727177727,0.6040816326530611,0.9567754186082291,1023,67,3,55,run223,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.0001,0.01,relu
MLP,0.3,0.9346689895470384,0.9410729991204925,0.9925788497217068,0.9661399548532731,0.9818315287208662,0.08704151220281885,0.6501590246488206,0.961000872872553,1070,67,3,8,run224,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.001,0.001,relu
MLP,0.3,0.8928571428571429,0.9400921658986175,0.9461966604823747,0.9431345353675451,0.9449694274596998,0.01851859768235211,0.6045189504373178,0.957086953999586,1020,65,5,58,run225,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(32,)",0.001,0.01,relu
MLP,0.3,0.9207317073170732,0.9402319357716324,0.9777365491651205,0.9586175534333788,0.969998159396282,0.03251680942201825,0.5851974556056189,0.9520338213456339,1054,67,3,24,run226,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(64, 32)",0.0001,0.001,relu
MLP,0.3,0.9233449477351916,0.9411764705882353,0.9795918367346939,0.96,0.97165991902834,0.05908152858583455,0.6257884972170686,0.9586190651354489,1056,66,4,22,run227,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(64, 32)",0.0001,0.01,relu
MLP,0.3,0.9189895470383276,0.9401251117068812,0.9758812615955473,0.9576695493855257,0.9685140858037193,0.02857438992596008,0.5741054863503843,0.9505736351727659,1052,67,3,26,run228,2010,True,0.3,100,7,2,200,7,0.1,0.8,200,0.1,200,0.1,0.01,l1,0.5,rbf,scale,"(64, 32)",0.001,0.001,relu
